Movie Name,Rating,Votes,Duration,Genre
Gladiator II,6.6,190000,148,Action
Sonic the Hedgehog 3,7.0,40000,110,Action
Pushpa: The Rule - Part 2,6.2,49000,201,Action
The Killer's Game,5.7,13000,104,Action
Dune: Part Two,8.5,593000,166,Action
Kraven the Hunter,5.4,35000,127,Action
Carry-On,6.5,148000,119,Action
Deadpool & Wolverine,7.6,462000,128,Action
Civil War,7.0,224000,109,Action
Venom: The Last Dance,6.0,91000,110,Action
Furiosa: A Mad Max Saga,7.5,266000,148,Action
Marco,7.4,16000,145,Action
The Count of Monte-Cristo,7.6,28000,178,Action
The Fall Guy,6.8,208000,126,Action
Arcadian,5.5,21000,92,Action
Twisters,6.5,153000,122,Action
The Ministry of Ungentlemanly Warfare,6.8,127000,122,Action
Borderlands,4.6,41000,101,Action
Homestead,5.5,2400,112,Action
The Lord of the Rings: The War of the Rohirrim,6.4,22000,134,Action
The Beekeeper,6.3,149000,105,Action
Bad Boys: Ride or Die,6.5,94000,115,Action
Red One,6.3,132000,123,Action
Elevation,5.6,11000,91,Action
Rebel Ridge,6.8,81000,131,Action
Kingdom of the Planet of the Apes,6.9,145000,145,Action
Love Lies Bleeding,6.6,53000,104,Action
Transformers One,7.6,44000,104,Action
Godzilla x Kong: The New Empire,6.1,117000,115,Action
Werewolves,4.4,5100,93,Action
The Crow,4.7,30000,111,Action
The Killer,5.7,11000,126,Action
Blitz,6.2,14000,120,Action
Madame Web,4.0,97000,116,Action
Twilight of the Warriors: Walled In,7.0,7700,126,Action
Road House,6.2,163000,121,Action
Argylle,5.6,90000,139,Action
Azrael,5.4,9000,86,Action
The Union,5.4,51000,107,Action
Monkey Man,6.8,88000,121,Action
Damsel,6.1,106000,110,Action
Sunray: Fallen Soldier,4.3,428,115,Action
Land of Bad,6.6,49000,113,Action
Solo Leveling: ReAwakening,8.4,3200,121,Action
Dark Match,5.7,424,94,Action
Absolution,5.2,6300,112,Action
Amaran,8.2,17000,167,Action
Drive-Away Dolls,5.4,22000,84,Action
Kung Fu Panda 4,6.3,65000,94,Action
Maharaja,8.4,63000,141,Action
Thelma,7.0,19000,98,Action
Uglies,4.7,31000,100,Action
Hellboy: The Crooked Man,4.5,11000,99,Action
The Prosecutor,7.1,810,117,Action
Lift,5.5,48000,107,Action
Weekend in Taipei,5.7,3600,100,Action
The Instigators,6.2,35000,101,Action
Aftermath,5.1,893,97,Action
Night Call,7.0,1000,97,Action
Rifle Club,7.0,3200,113,Action
Damaged,4.7,6800,97,Action
Dirty Angels,4.3,2700,104,Action
Brothers,5.4,12000,89,Action
Beverly Hills Cop: Axel F,6.4,79000,118,Action
Survive,4.6,1700,90,Action
Pani,6.8,2100,143,Action
Apocalypse Z: The Beginning of the End,6.1,18000,117,Action
Atlas,5.6,54000,118,Action
Boneyard,4.1,4500,96,Action
The Silent Hour,6.1,6000,99,Action
Kalki 2898 AD,7.0,64000,180,Action
Descendants: The Rise of Red,4.7,6700,91,Action
Attack on Titan the Movie: The Last Attack,9.3,11000,145,Action
Trigger Warning,4.6,19000,106,Action
William Tell,6.3,281,133,Action
Long Gone Heroes,5.1,751,92,Action
Fighter,6.2,52000,166,Action
Jackpot!,5.8,29000,106,Action
Under Paris,5.2,35000,104,Action
Armor,3.5,3300,89,Action
Canary Black,5.3,10000,101,Action
Night of the Zoopocalypse,7.4,87,91,Action
Rebel Moon - Part Two: The Scargiver,5.3,58000,122,Action
Take Cover,5.1,2000,90,Action
Aavesham,7.8,26000,155,Action
Watchmen: Chapter I,7.0,5800,83,Action
Thangalaan,6.6,6300,156,Action
The Shadow Strays,6.5,8400,144,Action
Don't Mess with Grandma,6.2,110,81,Action
No Way Up,4.6,9900,90,Action
Fight or Flight,6.8,353,101,Action
Viduthalai Part 2,8.1,15000,170,Action
Singham Again,4.9,74000,144,Action
Mafia Wars,3.6,168,94,Action
Classified,3.7,1900,105,Action
Jigra,6.1,23000,153,Action
Alien: Rubicon,2.5,278,86,Action
Baby John,6.2,15000,159,Action
Chief of Station,4.7,4200,97,Action
Devara Part 1,6.0,19000,176,Action
Trouble,6.2,6300,98,Action
The Thundermans Return,5.0,1700,70,Action
Sikandar Ka Muqaddar,6.0,24000,142,Action
Harbin,6.8,335,108,Action
Gunner,3.2,2200,106,Action
Mura,7.5,6000,129,Action
Old Guy,6.7,57,104,Action
The Fix,4.6,1000,98,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.3,392,72,Action
A Legend,4.7,792,129,Action
Kingdom 4: Return of the Great General,7.1,1000,145,Action
Agent Recon,2.3,618,85,Action
Red Right Hand,5.4,5500,111,Action
Darkness of Man,4.8,3000,109,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8100,93,Action
Watchmen: Chapter II,7.0,2200,90,Action
Posledniy Ronin,5.7,87,121,Action
Role Play,5.5,19000,100,Action
Megamind vs. The Doom Syndicate,2.4,5400,83,Action
My Spy The Eternal City,5.7,10000,112,Action
Utopia,3.7,289,91,Action
Uprising,6.6,5000,126,Action
Cash Out,4.8,2700,92,Action
Razakar: The Silent Genocide of Hyderabad,7.7,5100,166,Action
Murder Company,3.6,1500,86,Action
The Roundup: Punishment,6.6,4800,109,Action
Ferry 2,5.6,3400,94,Action
Arena Wars,5.0,1900,96,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4100,94,Action
"I, the Executioner",6.4,1300,118,Action
Sorgavaasal,6.7,1100,138,Action
Barroz: Guardian of Treasures,3.7,826,155,Action
Code 8: Part II,5.7,15000,100,Action
Kill Em All 2,4.1,1200,88,Action
Bhaje Vaayu Vegam,6.1,509,136,Action
Hounds of War,4.5,1500,95,Action
Freaky Tales,6.8,195,106,Action
The Wages of Fear,4.6,4000,104,Action
Hanu Man,7.7,29000,158,Action
Badland Hunters,5.9,12000,107,Action
Officer Black Belt,6.8,7500,108,Action
"Love, Courage and the Battle of Bushy Run",5.1,139,113,Action
Eagle,5.9,4800,159,Action
Hitpig,5.0,684,86,Action
One More Shot,5.4,3400,103,Action
Ultraman: Rising,6.9,6000,117,Action
Dan Da Dan: First Encounter,8.2,2300,83,Action
Levels,5.0,1300,93,Action
The Price of Money: A Largo Winch Adventure,5.0,858,100,Action
Prey,3.7,3100,86,Action
Pottel,8.6,2600,148,Action
UI,7.1,5500,135,Action
Garudan,7.1,3300,133,Action
Bachhala Malli,8.5,3800,140,Action
Bougainvillea,6.4,2700,138,Action
Golden Kamuy,6.3,2300,127,Action
Life After Fighting,6.4,1800,126,Action
Agni,7.3,15000,122,Action
Raayan,6.5,11000,145,Action
Simarik,7.6,1400,111,Action
Duchess,4.6,1100,114,Action
Article 370,7.8,24000,158,Action
The Courier,6.0,4200,101,Action
Max,7.7,2500,132,Action
Air Force One Down,4.4,2700,84,Action
The Tiger's Apprentice,5.7,2000,84,Action
Kanguva,4.6,14000,152,Action
Bagheera,6.7,7000,158,Action
Alangu,8.8,1100,131,Action
City Hunter,6.3,5300,102,Action
The Last Kumite,4.6,2300,105,Action
Mummy Shark,1.9,123,66,Action
Angels Fallen: Warriors of Peace,5.0,5700,103,Action
The Clean Up Crew,4.2,1000,95,Action
Kahar: Kapla High Council,6.9,410,102,Action
The Quiet Ones,6.5,433,110,Action
Panda Plan,5.2,812,99,Action
Lights Out,4.9,1700,90,Action
Elyas,6.1,964,105,Action
Hijack 1971,6.8,3000,100,Action
Death Whisperer 2,7.1,608,110,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5000,94,Action
Escape,6.4,1700,94,Action
Get Fast,3.6,402,88,Action
Freedom,5.9,1200,110,Action
The Greatest of All Time,5.8,21000,183,Action
Heart of the Hunter,4.7,2100,105,Action
Revolver,5.4,761,114,Action
Joe Baby,8.2,16,86,Action
GTMax,5.0,1100,100,Action
One Fast Move,5.0,2100,108,Action
Yolo,6.9,3400,129,Action
Outlaw,5.2,858,82,Action
Khadaan,7.5,1500,137,Action
Latency,4.2,1600,94,Action
72 Hours,4.2,259,87,Action
Die Hart 2: Die Harter,4.3,5300,92,Action
Cloud,6.4,722,123,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.0,547,174,Action
My Hero Academia: You're Next,7.0,1400,110,Action
Vettaiyan,7.0,39000,163,Action
Invasion,4.8,641,91,Action
Overlord: The Sacred Kingdom,7.0,657,135,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6400,154,Action
Anaconda,4.8,574,84,Action
200% Wolf,5.5,775,98,Action
Alienoid: The Return to the Future,6.5,2400,122,Action
Dominique,5.1,1800,100,Action
Saripodhaa Sanivaaram,7.0,8600,166,Action
The Ballad of Davy Crockett,4.6,228,96,Action
Sixty Minutes,5.7,5000,88,Action
Vanvaas,6.7,896,160,Action
Yodha,5.7,8700,130,Action
Wynonna Earp: Vengeance,5.5,1500,96,Action
Clone Cops,7.8,19,96,Action
Operation Blood Hunt,3.4,391,93,Action
The Lockdown,4.3,577,117,Action
Ka Whawhai Tonu,7.4,155,115,Action
Terminator: Skynet Rising,6.8,251,88,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8100,104,Action
A.R.M,7.1,8300,150,Action
Chandu Champion,7.8,33000,142,Action
Cells at Work!,6.9,88,109,Action
Wanted Man,4.8,2500,85,Action
Nice Girls,4.2,1100,92,Action
Guntur Kaaram,5.4,24000,159,Action
Bureau 749,4.2,460,123,Action
The Last Front,5.5,559,98,Action
Savi,6.2,35000,126,Action
Ryan's World the Movie: Titan Universe Adventure,2.1,474,80,Action
12 to Midnight,3.7,248,96,Action
The Kingdom,8.0,78,133,Action
Striking Rescue,5.9,242,106,Action
Fight Another Day,7.6,160,97,Action
Big Rage,6.4,96,115,Action
School of Magical Animals 3,5.9,257,105,Action
Vedaa,6.0,4100,145,Action
No Time to Spy: A Loud House Movie,6.4,423,81,Action
The Bouncer,5.2,40,78,Action
How to Rob a Bank,6.6,4000,88,Action
The Hangman,3.3,957,92,Action
Mission: Cross,6.1,2400,105,Action
Bade Miyan Chote Miyan,3.8,39000,163,Action
Zebra,8.1,3100,164,Action
The Friendly,8.0,11,101,Action
Naam,6.3,266,136,Action
The Charisma Killers,6.4,468,101,Action
Pimpinero: Blood and Oil,5.7,498,121,Action
Sons of Rizk 3,6.7,1500,125,Action
Cesium Fallout,6.7,388,136,Action
Devil's Knight,5.5,722,90,Action
The Family Star,5.4,5200,159,Action
Troubleshooters,6.4,381,110,Action
WWII: Operation Phoenix,7.7,45,106,Action
Deaner '89,5.9,376,90,Action
Spiders on a Plane,6.1,342,78,Action
Toofan,7.2,6000,145,Action
Everybody Loves Jenifa,8.4,66,135,Action
Karma,8.3,1300,167,Action
Orang Ikan,6.5,28,83,Action
Operation Valentine,5.3,1400,133,Action
Baki Hanma VS Kengan Ashura,5.7,1800,62,Action
Escape from the 21st Century,6.5,733,98,Action
Citizen of a Kind,6.7,693,114,Action
Hunting with Tigers,5.7,472,109,Action
Cassino in Ischia,4.4,197,113,Action
Baby Invasion,5.5,47,80,Action
24 Hours to D-Day,5.0,27,83,Action
Drive Back,4.9,247,94,Action
The Twisters,2.6,302,86,Action
Customs Frontline,5.5,435,115,Action
Mr. Bachchan,3.6,5200,150,Action
Auron Mein Kahan Dum Tha,6.6,40000,150,Action
Je Jatt Vigarh Gya,5.6,800,132,Action
Roadkill,3.6,659,90,Action
Indian 2,3.9,16000,180,Action
Snatched,4.9,198,101,Action
Yudhra,5.1,13000,142,Action
Martin,2.3,36000,147,Action
